Attribute Name;Description;Data Type;Attribute Type;Domain
PCIAT-PCIAT_05;How often do you complain about the amount of time your child spends online?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_06;How often do your child's grades suffer because of the amount of time he or she spends online?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_07;How often does your child check his or her e-mail before doing something else?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_08;How often does your child seem withdrawn from others since discovering the Internet?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_09;How often does your child become defensive or secretive when asked what he or she does online?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_10;How often have you caught your child sneaking online against your wishes?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_11;How often does your child spend time along in his or her room playing on the computer?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_12;"How often does your child receive strange phone calls from new ""online"" friends?";categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_13;How often does your child snap, yell, or act annoyed if bothered while online?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_14;How often does your child seem more tired and fatigued than he or she did before the Internet came along?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_15;How often does your child seem preoccupied with being back online when off-line?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_16;How often does your child throw tantrums with your interference about how long he or she spends online?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_17;How often does your child choose to spend time online rather than doing once enjoyed hobbies and/or outside interests?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_18;How often does your child become angry or belligerent when your place time limits on how much time he or shes is allowed to spend online?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_19;How often does your child choose to spend more time online than going out with friends?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_20;How often does your child feel depressed, moody, or nervous when off-line which seems to go away once back online?;categorical int;Ordinal;[0.0, 5.0]
PCIAT-PCIAT_Total;Total Score;int;Numerical;[0.0, 93.0]
SDS-Season;Season of participation;str;Categorical;
SDS-SDS_Total_Raw;Total Raw Score;int;Numerical;[17.0, 96.0]
SDS-SDS_Total_T;Total T-Score;int;Numerical;[38.0, 100.0]
PreInt_EduHx-Season;Season of participation;str;Categorical;
PreInt_EduHx-computerinternet_hoursday;Hours of using computer/internet;categorical int;Numerical;[0.0, 3.0]
sii;Severity Impairment Index;categorical int;Numerical;[0.0, 3.0]
