Var,N,Unique Values,Top,Freq,Mean,Std. Dev.,10%,50%,90%,Missing,%Missing
BIA-BIA_BMC,6636,,,,7.6691,97.9693,2.8636,4.2424,6.663,1824,21.56
BIA-BIA_BMI,6636,,,,19.0111,4.0459,15.4566,17.9665,23.737,1824,21.56
BIA-BIA_BMR,6636,,,,1237.3947,1843.474,966.8429,1115.38,1464.5443,1824,21.56
BIA-BIA_DEE,6636,,,,1974.0166,3054.4015,1424.0364,1822.1906,2451.3474,1824,21.56
BIA-BIA_ECW,6636,,,,22.4002,97.9154,9.3859,15.928,32.2258,1824,21.56
BIA-BIA_FFM,6636,,,,78.8698,271.556,43.4298,61.0662,96.9012,1824,21.56
BIA-BIA_FFMI,6636,,,,15.0691,7.1266,13.3335,14.0925,17.2827,1824,21.56
BIA-BIA_FMI,6636,,,,4.5726,5.0264,2.0938,3.6986,8.715,1824,21.56
BIA-BIA_Fat,6636,,,,14.1022,194.2024,6.0261,16.1746,42.999,1824,21.56
BIA-BIA_Frame_num,6636,,,,1.7303,0.5845,1.0,2.0,2.0,1824,21.56
BIA-BIA_ICW,6636,,,,32.1387,56.9351,21.6663,28.8558,43.8683,1824,21.56
BIA-BIA_LDM,6636,,,,24.8071,123.5788,12.6627,16.8081,29.651,1824,21.56
BIA-BIA_LST,6636,,,,67.9911,134.8015,40.8358,56.9964,94.9698,1824,21.56
BIA-BIA_SMM,6636,,,,35.3081,89.8398,19.3151,27.4151,48.7762,1824,21.56
BIA-BIA_TBW,6636,,,,51.694,132.8401,29.6689,44.987,69.4926,1824,21.56
PAQ_A-Season,5231,4,Winter,4482,,,,,,3229,38.17
PAQ_A-PAQ_A_Total,5231,,,,2.0393,0.3612,2.0,2.0,2.01,3229,38.17
PAQ_C-Season,6385,4,Spring,3406,,,,,,2075,24.53
PAQ_C-PAQ_C_Total,6385,,,,2.6504,0.6752,1.99,2.7,3.27,2075,24.53
PCIAT-Season,2714,4,Spring,761,,,,,,5746,67.92
PCIAT-PCIAT_01,2714,,,,2.3685,1.6726,0.0,2.0,5.0,5746,67.92
PCIAT-PCIAT_02,2714,,,,2.1721,1.6944,0.0,2.0,5.0,5746,67.92
PCIAT-PCIAT_03,2714,,,,2.3928,1.5866,0.0,2.0,5.0,5746,67.92
PCIAT-PCIAT_04,2714,,,,0.8272,1.1869,0.0,0.0,2.0,5746,67.92
PCIAT-PCIAT_05,2714,,,,2.2929,1.7039,0.0,2.0,5.0,5746,67.92
PCIAT-PCIAT_06,2714,,,,1.0578,1.2651,0.0,1.0,3.0,5746,67.92
PCIAT-PCIAT_07,2714,,,,0.5825,1.0421,0.0,0.0,2.0,5746,67.92
PCIAT-PCIAT_08,2714,,,,1.2439,1.3421,0.0,1.0,3.0,5746,67.92
PCIAT-PCIAT_09,2714,,,,1.0582,1.2547,0.0,1.0,3.0,5746,67.92
PCIAT-PCIAT_10,2714,,,,1.3029,1.3319,0.0,1.0,3.0,5746,67.92
PCIAT-PCIAT_11,2714,,,,1.6824,1.5431,0.0,2.0,4.0,5746,67.92
PCIAT-PCIAT_12,2714,,,,0.2428,0.5191,0.0,0.0,1.0,5746,67.92
PCIAT-PCIAT_13,2714,,,,1.3386,1.409,0.0,1.0,4.0,5746,67.92
PCIAT-PCIAT_14,2714,,,,1.0321,1.3007,0.0,1.0,3.0,5746,67.92
PCIAT-PCIAT_15,2714,,,,1.4934,1.4906,0.0,1.0,4.0,5746,67.92
PCIAT-PCIAT_16,2714,,,,1.4473,1.492,0.0,1.0,4.0,5746,67.92
PCIAT-PCIAT_17,2714,,,,1.6216,1.4437,0.0,1.0,4.0,5746,67.92
PCIAT-PCIAT_18,2714,,,,1.6113,1.5254,0.0,1.0,4.0,5746,67.92
PCIAT-PCIAT_19,2714,,,,1.1577,1.341,0.0,1.0,3.0,5746,67.92
PCIAT-PCIAT_20,2714,,,,0.9403,1.1811,0.0,1.0,2.0,5746,67.92
PCIAT-PCIAT_Total,2714,,,,27.8552,20.3188,0.0,26.0,56.0,5746,67.92
SDS-Season,4903,4,Spring,1585,,,,,,3557,42.04
SDS-SDS_Total_Raw,4903,,,,41.4107,9.4649,31.0,39.5,54.0,3557,42.04
SDS-SDS_Total_T,4903,,,,58.0728,12.5633,45.0,55.0,76.0,3557,42.04
PreInt_EduHx-Season,8071,4,Spring,2482,,,,,,389,4.6
PreInt_EduHx-computerinternet_hoursday,7849,,,,0.9811,1.0466,0.0,1.0,2.0,611,7.22
sii,8460,,,,0.4439,0.731,0.0,0.0,2.0,0,0.0
